subgroup,n,mean_wait,median_wait,P90,P95,urgent_breach_rate,same_day_rate,within_3d_rate,within_14d_rate,high_risk_same_day_share,run,seed,scenario,utilization
B,1943,0.0772002058672156,0.0,0.0,0.0,0.0010293360782295,0.968090581574884,0.993309315491508,1.0,1.0,run_seed_303_hash_e4b578ce,303,hybrid,1.1
A,2061,0.103833090732654,0.0,0.0,1.0,0.0014556040756914,0.9480834546336728,0.9932071809801069,1.0,1.0,run_seed_328_hash_6135dc5a,328,hybrid,1.2
B,1794,0.0691192865105908,0.0,0.0,0.0,0.0005574136008918,0.9704570791527312,0.9944258639910812,1.0,1.0,run_seed_328_hash_6135dc5a,328,hybrid,1.2
A,2664,0.0994744744744744,0.0,0.0,1.0,0.0007507507507507,0.9414414414414416,0.9947447447447448,1.0,1.0,run_seed_325_hash_7ac9b09e,325,hybrid,1.0
B,2022,0.0578635014836795,0.0,0.0,0.0,0.0009891196834817,0.9688427299703264,0.9955489614243324,1.0,1.0,run_seed_325_hash_7ac9b09e,325,hybrid,1.0
A,2034,0.1071779744346116,0.0,0.0,0.349999999999909,0.0029498525073746,0.9498525073746312,0.9916420845624384,1.0,1.0,run_seed_303_hash_6135dc5a,303,hybrid,1.2
B,1804,0.1108647450110864,0.0,0.0,0.0,0.0022172949002217,0.9573170731707316,0.9905764966740576,1.0,1.0,run_seed_303_hash_6135dc5a,303,hybrid,1.2
A,2248,0.1067615658362989,0.0,0.0,0.0,0.0013345195729537,0.9501779359430604,0.9924377224199288,1.0,1.0,run_seed_310_hash_e4b578ce,310,hybrid,1.1
B,1958,0.0587334014300306,0.0,0.0,0.0,0.0,0.9662921348314608,0.996935648621042,1.0,1.0,run_seed_310_hash_e4b578ce,310,hybrid,1.1
A,2294,0.1102877070619006,0.0,0.0,0.0,0.0013077593722755,0.954664341761116,0.9934612031386224,1.0,1.0,run_seed_305_hash_e4b578ce,305,hybrid,1.1
B,1937,0.0614352090862157,0.0,0.0,0.0,0.0005162622612287,0.9679917398038204,0.9969024264326276,1.0,1.0,run_seed_305_hash_e4b578ce,305,hybrid,1.1
A,2250,0.1444444444444444,0.0,0.0,1.0,0.0035555555555555,0.9435555555555556,0.9862222222222222,1.0,1.0,run_seed_312_hash_e4b578ce,312,hybrid,1.1
B,1991,0.0783525866398794,0.0,0.0,0.0,0.0005022601707684,0.9658463083877448,0.99347061778001,1.0,1.0,run_seed_312_hash_e4b578ce,312,hybrid,1.1
A,2362,0.1342082980524978,0.0,0.0,1.0,0.0029635901778154,0.9441151566469094,0.9902624894157492,1.0,1.0,run_seed_324_hash_e4b578ce,324,hybrid,1.1
B,1895,0.083377308707124,0.0,0.0,0.0,0.0015831134564643,0.9635883905013192,0.9936675461741424,1.0,1.0,run_seed_324_hash_e4b578ce,324,hybrid,1.1
A,2576,0.1055900621118012,0.0,0.0,1.0,0.0015527950310559,0.9487577639751552,0.9922360248447204,1.0,1.0,run_seed_319_hash_7ac9b09e,319,hybrid,1.0
B,2068,0.0507736943907156,0.0,0.0,0.0,0.0014506769825918,0.975338491295938,0.9975822050290136,1.0,1.0,run_seed_319_hash_7ac9b09e,319,hybrid,1.0
A,2261,0.0964175143741707,0.0,0.0,1.0,0.0008845643520566,0.9486952675807164,0.9946926138876604,1.0,1.0,run_seed_317_hash_e4b578ce,317,hybrid,1.1
B,1931,0.0564474365613671,0.0,0.0,0.0,0.0005178663904712,0.9673744174003108,0.9968928016571724,1.0,1.0,run_seed_317_hash_e4b578ce,317,hybrid,1.1
A,2065,0.1351089588377724,0.0,0.0,1.0,0.0024213075060532,0.9438256658595642,0.9883777239709444,1.0,1.0,run_seed_326_hash_6135dc5a,326,hybrid,1.2
B,1787,0.0962506994963626,0.0,0.0,0.0,0.0005595970900951,0.9597090095131504,0.9932848349188584,1.0,1.0,run_seed_326_hash_6135dc5a,326,hybrid,1.2
A,2049,0.1425085407515861,0.0,0.0,1.0,0.0014641288433382,0.940946803318692,0.9907271839921912,0.9990239141044412,1.0,run_seed_312_hash_6135dc5a,312,hybrid,1.2
B,1770,0.0915254237288135,0.0,0.0,0.0,0.0016949152542372,0.9559322033898304,0.994915254237288,0.9994350282485877,1.0,run_seed_312_hash_6135dc5a,312,hybrid,1.2
A,2682,0.1103653989560029,0.0,0.0,1.0,0.0022371364653243,0.9489187173750931,0.9944071588366892,1.0,1.0,run_seed_321_hash_7ac9b09e,321,hybrid,1.0
B,2037,0.0510554737358861,0.0,0.0,0.0,0.0004909180166912,0.970054000981836,0.9985272459499264,1.0,1.0,run_seed_321_hash_7ac9b09e,321,hybrid,1.0
A,2637,0.1331058020477815,0.0,0.0,1.0,0.0022753128555176,0.9412210845657945,0.9912779673871824,1.0,1.0,run_seed_313_hash_7ac9b09e,313,hybrid,1.0
B,2043,0.0416054821341164,0.0,0.0,0.0,0.0004894762604013,0.9809104258443464,0.9975526186979932,0.9995105237395986,1.0,run_seed_313_hash_7ac9b09e,313,hybrid,1.0
A,2093,0.1189679885332059,0.0,0.0,1.0,0.0014333492594362,0.9421882465360726,0.9918776875298616,1.0,1.0,run_seed_304_hash_6135dc5a,304,hybrid,1.2
B,1764,0.0810657596371882,0.0,0.0,0.0,0.0,0.9529478458049888,0.996031746031746,1.0,1.0,run_seed_304_hash_6135dc5a,304,hybrid,1.2
A,2298,0.1022628372497824,0.0,0.0,1.0,0.0004351610095735,0.9456048738033072,0.995213228894691,1.0,1.0,run_seed_314_hash_e4b578ce,314,hybrid,1.1
B,1913,0.0778881338212232,0.0,0.0,0.0,0.0,0.9602718243596444,0.9958180867746994,1.0,1.0,run_seed_314_hash_e4b578ce,314,hybrid,1.1
A,2042,0.1106758080313418,0.0,0.0,0.0,0.0009794319294809,0.951028403525955,0.9916748285994124,1.0,1.0,run_seed_314_hash_6135dc5a,314,hybrid,1.2
B,1780,0.0685393258426966,0.0,0.0,0.0,0.0016853932584269,0.9606741573033708,0.996629213483146,1.0,1.0,run_seed_314_hash_6135dc5a,314,hybrid,1.2
A,2265,0.130242825607064,0.0,0.0,1.0,0.0026490066225165,0.9439293598233996,0.9898454746136864,1.0,1.0,run_seed_330_hash_e4b578ce,330,hybrid,1.1
B,1968,0.0691056910569105,0.0,0.0,0.0,0.0005081300813008,0.967479674796748,0.9979674796747968,1.0,1.0,run_seed_330_hash_e4b578ce,330,hybrid,1.1
A,2019,0.121347201584943,0.0,0.0,1.0,0.0009905894006934,0.9489846458642892,0.9925705794947994,1.0,1.0,run_seed_327_hash_6135dc5a,327,hybrid,1.2
B,1816,0.1002202643171806,0.0,0.0,0.0,0.001101321585903,0.954295154185022,0.995044052863436,0.9994493392070484,1.0,run_seed_327_hash_6135dc5a,327,hybrid,1.2
A,2613,0.1063911213164944,0.0,0.0,0.0,0.0019135093761959,0.9590508993494068,0.9919632606199772,0.9996172981247607,1.0,run_seed_308_hash_7ac9b09e,308,hybrid,1.0
B,2107,0.0465116279069767,0.0,0.0,0.0,0.0004746084480303,0.9753203607024205,0.9966777408637874,1.0,1.0,run_seed_308_hash_7ac9b09e,308,hybrid,1.0
A,2592,0.0856481481481481,0.0,0.0,0.4499999999998181,0.0,0.9498456790123456,0.9972993827160492,1.0,1.0,run_seed_307_hash_7ac9b09e,307,hybrid,1.0
B,2085,0.0589928057553956,0.0,0.0,0.0,0.0004796163069544,0.9673860911270984,0.9971223021582734,1.0,1.0,run_seed_307_hash_7ac9b09e,307,hybrid,1.0
A,2048,0.123046875,0.0,0.0,1.0,0.00146484375,0.94482421875,0.98876953125,1.0,1.0,run_seed_305_hash_6135dc5a,305,hybrid,1.2
B,1786,0.099104143337066,0.0,0.0,0.0,0.0022396416573348,0.9585666293393056,0.9916013437849944,1.0,1.0,run_seed_305_hash_6135dc5a,305,hybrid,1.2
A,2615,0.1319311663479923,0.0,0.0,1.0,0.0011472275334608,0.9434034416826004,0.9892925430210324,1.0,1.0,run_seed_329_hash_7ac9b09e,329,hybrid,1.0
B,2056,0.0632295719844358,0.0,0.0,0.0,0.0009727626459143,0.9693579766536964,0.995136186770428,1.0,1.0,run_seed_329_hash_7ac9b09e,329,hybrid,1.0
