subgroup,n,mean_wait,median_wait,P90,P95,urgent_breach_rate,same_day_rate,within_3d_rate,within_14d_rate,high_risk_same_day_share,run,seed,scenario,utilization
A,2603,0.1194775259316173,0.0,0.0,1.0,0.0011525163273146,0.9454475605071072,0.9896273530541684,1.0,1.0,run_seed_312_hash_64beb8db,312,baseline,1.0
B,2078,0.0423484119345524,0.0,0.0,0.0,0.0004812319538017,0.9744947064485082,0.9980750721847932,1.0,1.0,run_seed_312_hash_64beb8db,312,baseline,1.0
A,2600,0.1396153846153846,0.0,0.0,1.0,0.0023076923076923,0.9442307692307692,0.9869230769230768,1.0,1.0,run_seed_324_hash_64beb8db,324,baseline,1.0
B,2077,0.0500722195474241,0.0,0.0,0.0,0.0,0.9735194992778046,0.9966297544535389,1.0,1.0,run_seed_324_hash_64beb8db,324,baseline,1.0
A,2317,0.139835994820889,0.0,0.0,1.0,0.002589555459646,0.9387138541217092,0.9900733707380232,0.9991368148467846,1.0,run_seed_320_hash_e0cd5d01,320,baseline,1.1
B,1877,0.0783164624400639,0.0,0.0,0.0,0.0021310602024507,0.9611081513052744,0.9936068193926478,1.0,1.0,run_seed_320_hash_e0cd5d01,320,baseline,1.1
A,1993,0.1078775715002508,0.0,0.0,1.0,0.0020070245860511,0.945810336176618,0.9944806823883592,1.0,1.0,run_seed_317_hash_e481da2f,317,baseline,1.2
B,1851,0.0626688276607239,0.0,0.0,0.0,0.0005402485143165,0.9643435980551054,0.996218260399784,1.0,1.0,run_seed_317_hash_e481da2f,317,baseline,1.2
A,2349,0.0893997445721583,0.0,0.0,0.0,0.0004257130693912,0.9582801191996594,0.9948914431673052,0.9995742869306088,1.0,run_seed_302_hash_e0cd5d01,302,baseline,1.1
B,1874,0.0645677694770544,0.0,0.0,0.0,0.0016008537886872,0.9663820704375669,0.9957310565635006,1.0,1.0,run_seed_302_hash_e0cd5d01,302,baseline,1.1
A,2032,0.1003937007874015,0.0,0.0,0.0,0.0004921259842519,0.9517716535433072,0.9950787401574804,1.0,1.0,run_seed_321_hash_e481da2f,321,baseline,1.2
B,1813,0.0507446221731936,0.0,0.0,0.0,0.0005515719801434,0.971869829012686,0.9977937120794264,1.0,1.0,run_seed_321_hash_e481da2f,321,baseline,1.2
A,2063,0.1541444498303441,0.0,0.0,1.0,0.0024236548715462,0.9282598158022296,0.9878817256422684,1.0,1.0,run_seed_310_hash_e481da2f,310,baseline,1.2
B,1769,0.1051441492368569,0.0,0.0,0.0,0.0011305822498586,0.9564725833804408,0.9920859242509892,0.9994347088750708,1.0,run_seed_310_hash_e481da2f,310,baseline,1.2
A,2206,0.1178603807796917,0.0,0.0,1.0,0.0013599274705349,0.941976427923844,0.9936536718041704,1.0,1.0,run_seed_305_hash_e0cd5d01,305,baseline,1.1
B,1985,0.069521410579345,0.0,0.0,0.0,0.0005037783375314,0.9642317380352644,0.996977329974811,1.0,1.0,run_seed_305_hash_e0cd5d01,305,baseline,1.1
A,2065,0.1283292978208232,0.0,0.0,1.0,0.0014527845036319,0.9457627118644067,0.988861985472155,1.0,1.0,run_seed_315_hash_e481da2f,315,baseline,1.2
B,1796,0.0985523385300668,0.0,0.0,0.0,0.0016703786191536,0.9515590200445434,0.9922048997772828,0.9994432071269488,1.0,run_seed_315_hash_e481da2f,315,baseline,1.2
A,2531,0.1074674041880679,0.0,0.0,0.0,0.0003951007506914,0.9525879099170288,0.9952587909917028,0.9996048992493086,1.0,run_seed_316_hash_64beb8db,316,baseline,1.0
B,2140,0.0401869158878504,0.0,0.0,0.0,0.0004672897196261,0.9738317757009346,0.9990654205607477,1.0,1.0,run_seed_316_hash_64beb8db,316,baseline,1.0
A,2640,0.1007575757575757,0.0,0.0,0.0,0.0011363636363636,0.9507575757575758,0.9950757575757576,1.0,1.0,run_seed_305_hash_64beb8db,305,baseline,1.0
B,2052,0.0350877192982456,0.0,0.0,0.0,0.0004873294346978,0.982943469785575,0.9975633528265108,1.0,1.0,run_seed_305_hash_64beb8db,305,baseline,1.0
A,2273,0.0976682798064232,0.0,0.0,0.0,0.0004399472063352,0.9529256489221294,0.9925208974923008,1.0,1.0,run_seed_318_hash_e0cd5d01,318,baseline,1.1
B,1950,0.0989743589743589,0.0,0.0,0.0,0.0015384615384615,0.9553846153846154,0.9917948717948718,0.9994871794871796,1.0,run_seed_318_hash_e0cd5d01,318,baseline,1.1
A,2087,0.1058936272160996,0.0,0.0,1.0,0.0019166267369429,0.9420220412074748,0.9947292764734068,1.0,1.0,run_seed_311_hash_e481da2f,311,baseline,1.2
B,1772,0.082392776523702,0.0,0.0,0.0,0.0,0.9571106094808126,0.994920993227991,1.0,1.0,run_seed_311_hash_e481da2f,311,baseline,1.2
A,2044,0.1433463796477495,0.0,0.0,1.0,0.0019569471624266,0.9442270058708416,0.987279843444227,0.9990215264187868,1.0,run_seed_324_hash_e481da2f,324,baseline,1.2
B,1800,0.0911111111111111,0.0,0.0,0.0,0.0016666666666666,0.9577777777777776,0.995,0.9994444444444444,1.0,run_seed_324_hash_e481da2f,324,baseline,1.2
